Slaughterhouse,Defor_2010,Defor_2011,Defor_2012,Defor_2013,Defor_2014,Defor_2015,Defor_2016,Defor_2017,latitude,longitude
Colanta Frigorifico,30.3,32.53,33.59,34.45,35.62,36.83,38,,6.6113434,-75.440918
Red Carnica,7.33,9.73,12.41,15.73,18.67,21.94,25.7,,8.8698158,-75.6571503
Planta de Sacrificio Animal,6.85,7.82,10.45,13.96,16.76,19.98,23.74,,6.7157059,-72.7286682
Meats La Costela,13.39,14.78,15.91,17.01,18.29,19.66,21.07,,4.1403508,-73.6371078
Frigorifico Rio Frio,10.39,12.44,14.31,16.37,17.89,19.42,21.04,,7.0541167,-73.132019
Frigonordeste SAS,14.28,15.64,17.02,18.46,19.28,20.13,21,,6.5872817,-75.0181427
Matadero Municipal - FRIGOTUN SAT LTDA,6.02,6.79,8.31,10.16,12.81,16.19,20.38,,4.8224883,-75.7389679
Frigorifico Vijagual SA,17.58,18.39,18.94,18.66,18.76,19.49,20.24,,7.1595316,-73.1281738
Frigorifico la frontera,8.33,9.89,11.96,13.63,15.17,16.9,18.77,,7.8152409,-72.472229
Planta de Sacrificio Choconta,15.83,16.09,16.94,17.81,18.09,18.37,18.59,,5.1464171,-73.6908493
Matadero Camaguey,4.66,6.62,8.33,10.28,12.33,14.73,17.6,,10.9011402,-74.8893051
Refrigerator Guadalupe SAS,6.03,7.15,8.47,10.03,11.89,14.08,16.62,,4.5950727,-74.1514359
Planta de sacrificio de ganado,9.96,10.51,11.39,12.41,13.33,14.25,15.18,,6.9134226,-75.0862274
Frigorifico Metropolitano,9.95,10.89,11.92,13.06,13.7,14.28,14.86,,4.7632632,-74.1847
Matadero municipal Copacabana,5.41,6.55,7.67,8.74,10.51,12.7,14.16,,6.3596082,-75.4937363
FrigoEcol LTDA,,,,,,,,,10.860796,-74.8067169
FrigoMatadero Arauca,,,,,,,,,7.0298958,-70.7222519
Centro de Sacrifico Manizales,,,,,,,,,5.0623617,-75.4848785
Feria de Ganados de Medellin,,,,,,,,,6.3009419,-75.5623703
Frigorivalle SAS,,,,,,,,,3.8480804,-76.2984772
Frigo Timana SAS,,,,,,,,,4.0937414,-76.1879654
